move_type,d_0,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_-25,d_-24,d_-23,d_-22,d_-21,d_-20,d_-19,d_-18,d_-17,d_-16,d_-15,d_-14,d_-13,d_-12,d_-11,d_-10,d_-9,d_-8,d_-7,d_-6,d_-5,d_-4,d_-3,d_-2,d_-1
LEFT,1.4204386015861338e-16,0.9999999999999998,0.15525048427788674,0.053824372295039474,0.0706707051452807,0.08248774537023879,0.04804321661156578,0.0189056512241186,0.01591976580760855,0.026647958389001074,0.02106747928906068,0.010203643679877576,0.026283610189514115,0.00869680532192534,0.009973432158383078,0.012078806193845553,0.015441857800796053,0.00640269176608144,0.005285558742398437,0.009478803183995967,0.005169292294391189,0.003226495806023076,0.005204568717975259,0.007297315697266469,0.007218010676272124,0.0033176778210199606,0.003714142550578352,0.0018605428960489477,0.006558014410707176,0.005290453620567526,0.006967123952871347,0.002446734541615245,0.006733613207903768,0.01224180965098038,0.00602077265761939,0.011995261678049181,0.0069410438711400395,0.012500785102791654,0.008840714695113912,0.009325833071538678,0.018411522764403724,0.02526135955737495,0.017349602261841117,0.0185406532075,0.024159397903179117,0.022742916110558505,0.05334636306733287,0.12947279742984047,0.14063058284427127,0.11771145832410071,0.20915871760886576
GO,1.4693817458793127e-16,1.0,0.3553273144972805,0.1802918066703828,0.05200435377691892,0.13170656801016903,0.146117780696364,0.025971337662986288,0.05597095197974377,0.045883473306399726,0.0039707125690302235,0.021602175969152215,0.016304531457735815,0.01064629778020647,0.010555201169355733,0.016898571601664934,0.01266994959349619,0.012552513869926183,0.007247283525892132,0.010185330851499913,0.006053104232539542,0.00908652582116112,0.009344105247031758,0.0009777818248658243,0.002508230828805476,0.007270732560688406,0.00541252696637044,0.003441528067822098,0.008649430892275854,0.005322124851356613,0.007789592357418479,0.008584429962341341,0.0065798486072610905,0.00605824056242347,0.009445462141032906,0.014724005420840182,0.01599764475677448,0.019710609276344163,0.004674894550254947,0.02719261917987782,0.027227641599121676,0.012589229117219145,0.013765394706905775,0.04691388183661518,0.05170083024317202,0.037779500571762305,0.2429580322431853,0.07274758892175341,0.04558356824889889,0.06954173209931336,0.10717664862108642
GO,2.885287182604335e-15,0.9999999999999999,0.31932564614699416,0.15101605723116418,0.10126545809959261,0.07590531642053189,0.1070770414381097,0.05562355985007497,0.08951250586102946,0.029565741508075314,0.04088255616318,0.011981339804002409,0.0500735583662221,0.007096968017430424,0.02127883221643222,0.012337840048968242,0.02982137356898571,0.008471438835292014,0.006726474985912014,0.017473109981214124,0.009069294159905575,0.004575534215144155,0.006272723334855191,0.003961330324917973,0.010511198528835496,0.003653431547361761,0.004192541031190339,0.003959249681536339,0.0006414343126970591,0.006641894371710234,0.002396034974915587,0.008753730742705624,0.007102630082693219,0.011230109364346357,0.011492330981173403,0.021430775498735212,0.013744653744146717,0.01811052709959595,0.020607695436568266,0.02770290596985154,0.02761236131009415,0.050715923782363774,0.03479947816351462,0.025874224261102287,0.09410424284723601,0.058131252869219385,0.10560399749699427,0.17383093558356913,0.0522969733256596,0.07885784417671377,0.08899129008965052
GO,1.8936954807512303e-16,0.9999999999999998,0.30632958457260795,0.20528004300196467,0.15284143246461915,0.050335676201326826,0.1032888186569218,0.06390395870797853,0.11976974304450916,0.05162160040315482,0.024415940654513246,0.01567512020641757,0.021181140175055027,0.030802488490706856,0.02635799987167851,0.017364747521714557,0.013397321667557003,0.012444657444205394,0.009903142574130578,0.006241612860243954,0.009308905817479724,0.0174045114097099,0.008837722661460419,0.006961886220363719,0.00843444619953961,0.009894666466854428,0.008676317832534653,0.010121157819608319,0.003168586914480021,0.012178759719510756,0.015581612587904548,0.0037682166265347976,0.008285025097611353,0.005355273918861562,0.0007290739172960235,0.01797778916769006,0.009636119727458684,0.022329587600633242,0.01703379713763534,0.020421291118645577,0.03320016967645807,0.04681118766186642,0.03446144376757274,0.03591433688861078,0.11580437468122284,0.05670062962942978,0.11484138591061628,0.1724556575383866,0.0432126330581841,0.1011808735347143,0.06912332765675124
GO,6.713927942393834e-17,1.0,0.3252110044762164,0.17669517384134198,0.12845668919484796,0.07443153911619248,0.127369995503729,0.04009606880013069,0.09160943440246921,0.03857834318629646,0.03305440079232204,0.03483449089654732,0.05314102358073457,0.02865342744004695,0.007077083007673324,0.013566685601530662,0.017122336269457306,0.017242312998356622,0.020628288791729323,0.011078964822726108,0.012465687190612406,0.018949844476170787,0.016620340571104036,0.012410217260021537,0.009830111819853892,0.003088326962051923,0.0029963619233615893,0.0042341485158538346,0.012521378128698699,0.013554355853797625,0.005837098389586746,0.005624456176462873,0.012928531383476412,0.017434685986527504,0.01280851185055638,0.014149421042877286,0.010729217888929768,0.02054101987391952,0.011472854246164763,0.03707742720587026,0.05247812116866936,0.03571508475232167,0.0301808940983334,0.02966263483855423,0.1009088320326383,0.05804251520085453,0.09577173636806675,0.19931314793937524,0.04214214041710358,0.08276267719935079,0.0801095456380178
GO,2.9585821432379244e-16,1.0,0.3095531805836577,0.16598852626303087,0.11601788224917414,0.05679805194378897,0.08662675095330324,0.06654951848972444,0.133268289247683,0.03180599453408225,0.04842923371585845,0.010631256938622219,0.03601274068539029,0.01650310796416121,0.03738301554384031,0.006859333603008447,0.0086033039463363,0.008568942182150471,0.010241386304023612,0.019415582610951224,0.01494373354032357,0.008202209525085186,0.0038225945759817175,0.00779971582033861,0.0068255348924963115,0.0030774915364539545,0.005685196488459374,0.006945800156472789,0.0020404433419863944,0.0037263289596374993,0.007955582324019946,0.016937265287373392,0.007820139236289865,0.010560581066884006,0.012315502078648644,0.016900884835970714,0.007482815214542057,0.009028481322389717,0.019270474681141007,0.025520094387506416,0.020561646262469504,0.01925864005181794,0.055712520223906624,0.07979279287838968,0.11224284264180685,0.05375435777524673,0.06914171558782364,0.16358955194272504,0.04348716916123099,0.09311433939781216,0.046374300060051235
GO,1.8349548582698985e-16,0.9999999999999999,0.3193419330614238,0.17734887232093713,0.12243920488789725,0.0871950856610039,0.07897599932055813,0.08391293913696295,0.10764609128622124,0.015299827352261383,0.041785209807375275,0.013576376011274554,0.02691960657446111,0.0304668081420646,0.033819006182655716,0.010335425600550093,0.024420753031798772,0.007502346417944681,0.018133881020120424,0.020024984197295596,0.002582852196301471,0.008449911621862493,0.014440729646207415,0.008174145474556386,0.007116747619504698,0.015574764012285115,0.009015565204484084,0.004211942069978584,0.00615868178838606,0.005809341332432913,0.009834585088973502,0.01063188693394681,0.013018701641610956,0.00631489924914905,0.008753577818487259,0.01765748102436324,0.016561644966736816,0.01036955864445727,0.016582307708437712,0.03374160232798376,0.019870853825348037,0.027134738874250244,0.0348008478072397,0.06538656706726123,0.09137179694550526,0.054904545537542974,0.10519907418957646,0.17856225739284906,0.05706022042380891,0.10289093030305382,0.0490444425654278
GO,1.9835403866150124e-16,1.0000000000000002,0.33531294280498825,0.1631392765883599,0.1200301509808351,0.06996547913796297,0.11367343329330178,0.032678194650902846,0.09170336959788813,0.04630136425812758,0.0432157045107243,0.009212449493052083,0.04762910961058417,0.031977923473155104,0.014232543695352111,0.00501104263561882,0.03383291889249492,0.024763648420662334,0.01441414806567226,0.012884843089885347,0.01127598997930538,0.01819483857152542,0.014731242694696462,0.0027907374113140355,0.0034676645464990384,0.005861147939351086,0.004863658387499153,0.0069532393949021795,0.008131014198710965,0.01581509021834009,0.010384709406189739,0.009883447285064165,0.006840317810933131,0.023707143326082057,0.025526969554349292,0.019913594702792914,0.01402070019552286,0.01914873312677625,0.018877204559695517,0.034194240596031204,0.04659850728803975,0.030538102059332158,0.03214461075129885,0.036411864358751204,0.10214949441381753,0.03030762908447145,0.07795354530799573,0.19429670558724968,0.05240593329736258,0.09546622981204309,0.10085001082995103
GO,7.048934714815288e-17,1.0,0.31862166558944754,0.18326218491013951,0.10710801312419752,0.07483081866557185,0.0997766500485116,0.031225564485051472,0.09019921115770183,0.0490016944510033,0.05039815231972508,0.014631338245315508,0.03733244015905173,0.0404610484113232,0.021018187980336868,0.005868199416446363,0.018204230376576484,0.02508460668564986,0.011787505705860136,0.014336562333732475,0.014261129706991237,0.019077679246006164,0.017465084016774362,0.00882241263412828,0.004006039367643741,0.0028375043974682777,0.005351039723008613,0.006554505393732384,0.006508806515472035,0.011788413495145745,0.012390990915377625,0.0039182168670660565,0.004838543522273944,0.020587882788880126,0.0241848673650495,0.009355402901389198,0.0057006984054194,0.027417330383479346,0.027028809352473683,0.03688703722575685,0.03802859168728068,0.03938489177901625,0.03364293286912444,0.051671943404526334,0.09706944457196533,0.020812990303872902,0.06583294763051079,0.1881235402150672,0.06538467403962876,0.07295330627903095,0.1087048302940883
GO,2.373957006971714e-16,1.0,0.3022475158226039,0.15430537861576002,0.07083609067690347,0.05896154194177922,0.09502778633161454,0.08277403627195663,0.09304308910317115,0.05993885354458543,0.03469387697929491,0.02042772339599378,0.03211118620780505,0.021350733266313555,0.008411809422551481,0.03503020039191272,0.01210541163574599,0.004589623312860903,0.008027344903956865,0.01703665116031004,0.015668090691532376,0.00989626290846488,0.0044806415254845895,0.004151718768229489,0.0015403287593910725,0.00427524971930612,0.005473814860840026,0.0020710120534187903,0.004583693873712825,0.005207583313376899,0.008383608211893287,0.009867102028125836,0.00816678629622763,0.007658030909779087,0.015895244625240813,0.008123250863532659,0.011802212454124203,0.004140988438390596,0.02526522703045173,0.019509340900276763,0.007956650909547976,0.026797693804389053,0.05496774703298247,0.06961643117896468,0.09594824431024185,0.06773470537852595,0.07082482569914422,0.1375124144088378,0.07824332062807891,0.09717840041441196,0.0978189954670475
